id,name
42547,Авербандщик
42548,Авиационный механик (техник) по планеру и двигателям
42549,Авиационный механик (техник) по приборам и электрооборудованию
42550,Авиационный механик (техник) по радиооборудованию
42551,Авиационный техник (механик) по парашютным и аварийно-спасательным средствам
42552,Авиационный техник по горюче-смазочным материалам
42553,Автоклавщик
42554,Автоклавщик
42555,Автоклавщик
42556,Автоклавщик литья под давлением
42557,Автоклавщик на запарке брикетов
42558,Автоклавщик-сушильщик аккумуляторных пластин в производстве свинцовых аккумуляторов
42559,Автоматчик
42560,Автоматчик вязальных автоматов
42561,Автоматчик игольно-платинных изделий
42562,Автоматчик картонажного производства
42563,Автоматчик клеильных полуавтоматов
42564,Автоматчик на узловязальных и навивочных автоматах и станках
42565,Автоматчик по изготовлению деталей клавишных инструментов
42566,Автоматчик ремизных автоматов
42567,Автоматчик холодновысадочных автоматов
42568,Автоматчик элементного производства
42569,Агломератчик
42570,Аквадировщик
42571,Акклиматизатор
42572,Аккумуляторщик
42573,Алундировщик
42574,Алюминировщик
42575,Алюминировщик электротехнических изделий
42576,Ангобировщик
42577,Ангобировщик санитарно-строительных изделий
42578,Анодчик в производстве алюминия
42579,Антенщик-мачтовик
42580,Антикоррозийщик
42581,Аппаратчик
42582,Аппаратчик абсолютирования
42583,Аппаратчик абсорбции
42584,Аппаратчик адсорбции
42585,Аппаратчик азотирования
42586,Аппаратчик активации
42587,Аппаратчик аммонолиза
42588,Аппаратчик аппретирования
42589,Аппаратчик асептического консервирования
42590,Аппаратчик ацеталирования
42591,Аппаратчик ацилирования
42592,Аппаратчик балансовых установок
42593,Аппаратчик бельевых сушильных установок
42594,Аппаратчик бисульфитирования ванилина
42595,Аппаратчик бучения
42596,Аппаратчик вакуумирования
42597,Аппаратчик вакуум-приемников
42598,Аппаратчик вакуум-сушильной установки
42599,Аппаратчик вакуум-термической печи
42600,Аппаратчик валки изделий
42601,Аппаратчик-вальцевар
42602,Аппаратчик варки утфеля
42603,Аппаратчик витаминизации жира
42604,Аппаратчик водно-химической обработки
42605,Аппаратчик возгонки
42606,Аппаратчик воздухоразделения
42607,Аппаратчик восстановления
42608,Аппаратчик восстановления молока
42609,Аппаратчик восстановления полупроводниковых материалов
42610,Аппаратчик в производстве драгоценных металлов
42611,Аппаратчик в производстве металлических порошков
42612,Аппаратчик в производстве солей
42613,Аппаратчик в производстве твердых сплавов и тугоплавких металлов
42614,Аппаратчик в производстве титана и редких металлов
42615,Аппаратчик вспенивания
42616,Аппаратчик вулканизации
42617,Аппаратчик выделения ацетофенона
42618,Аппаратчик выделения карбинола
42619,Аппаратчик выделения псевдобутилена
42620,Аппаратчик выделения серы
42621,Аппаратчик выделения фтористого бора
42622,Аппаратчик выпаривания
42623,Аппаратчик выпаривания и гранулирования
42624,Аппаратчик выпарных аппаратов для получения жидкого продукта
42625,Аппаратчик выпарных аппаратов для получения твердого продукта
42626,Аппаратчик выращивания дрожжей
42627,Аппаратчик высаждения
42628,Аппаратчик вытопки
42629,Аппаратчик вытяжки
42630,Аппаратчик выщелачивания
42631,Аппаратчик газового консервирования
42632,Аппаратчик газогенерации
42633,Аппаратчик газоразделения
42634,Аппаратчик гашения извести
42635,Аппаратчик гидратации
42636,Аппаратчик гидратации
42637,Аппаратчик гидрирования
42638,Аппаратчик гидролиза
42639,Аппаратчик гидролиза жира и печени
42640,Аппаратчик гидролиза крахмального молока
42641,Аппаратчик-гидрометаллург
42642,Аппаратчик гидрохлорирования
42643,Аппаратчик гомогенизации
42644,Аппаратчик гомогенизации пластических масс
42645,Аппаратчик гранулирования
42646,Аппаратчик гранулирования
42647,Аппаратчик деаэрации
42648,Аппаратчик дегидратации
42649,Аппаратчик дегидрирования
42650,Аппаратчик дезодорации
42651,Аппаратчик декарбоксилирования
42652,Аппаратчик деполимеризации
42653,Аппаратчик десорбции
42654,Аппаратчик деструкции
42655,Аппаратчик десублимации
42656,Аппаратчик дефекосатурации диффузионного сока
42657,Аппаратчик димеризации
42658,Аппаратчик диспергирования пигментов и красителей
42659,Аппаратчик диспергирования щелочных металлов
42660,Аппаратчик диспропорционирования
42661,Аппаратчик диффузии
42662,Аппаратчик дозирования
42663,Аппаратчик-дозировщик на изготовлении и поливе фотоэмульсий
42664,Аппаратчик дозревания
42665,Аппаратчик дубления и сушки белковой оболочки
42666,Аппаратчик дубления (кожевенное и кожсырьевое производство)
42667,Аппаратчик дубления (меховое производство)
42668,Аппаратчик енолизации
42669,Аппаратчик желатинизации
42670,Аппаратчик жироочистки
42671,Аппаратчик-заварщик
42672,Аппаратчик замораживания пищевого сырья и продуктов
42673,Аппаратчик запаривания
42674,Аппаратчик запаривания одонков
42675,Аппаратчик золения
42676,Аппаратчик золки
42677,Аппаратчик извлечения побочных продуктов
42678,Аппаратчик изготовления армированных прессовочных материалов
42679,Аппаратчик изготовления баритмассы
42680,Аппаратчик изготовления искусственного шеелита
42681,Аппаратчик изготовления нетканых стекловолокнистых материалов
42682,Аппаратчик изготовления пленочных материалов
42683,Аппаратчик изготовления резиновых нитей
42684,Аппаратчик изготовления рентгеновских экранов
42685,Аппаратчик изготовления термопасты
42686,Аппаратчик измельчения и предсозревания
42687,Аппаратчик изомеризации
42688,Аппаратчик имидирования
42689,Аппаратчик-индулиновар
42690,Аппаратчик йодирования
42691,Аппаратчик ионного обмена
42692,Аппаратчик ионообменной очистки глицерина
42693,Аппаратчик ионообменной очистки химико-фармацевтических препаратов
42694,Аппаратчик испарения
42695,Аппаратчик испарительной установки
42696,Аппаратчик калибровки
42697,Аппаратчик карбидизации
42698,Аппаратчик карбонизации
42699,Аппаратчик каустификации
42700,Аппаратчик кислотной обработки спилка
42701,Аппаратчик коагулирования шляма
42702,Аппаратчик коагуляции
42703,Аппаратчик коконозапарочной машины
42704,Аппаратчик комбикормового производства
42705,Аппаратчик-комплекторщик
42706,Аппаратчик конверсии
42707,Аппаратчик-конденсаторщик
42708,Аппаратчик конденсации
42709,Аппаратчик контактирования
42710,Аппаратчик контактной выпарки
42711,Аппаратчик концентрирования кислот
42712,Аппаратчик коньячного производства
42713,Аппаратчик-краскотер
42714,Аппаратчик крахмального агрегата
42715,Аппаратчик крашения и жирования кож
42716,Аппаратчик кристаллизации
42717,Аппаратчик кристаллизации и центрифугирования
42718,Аппаратчик крупяного производства
42719,Аппаратчик ксантогенирования
42720,Аппаратчик-лаковар
42721,Аппаратчик лесохимической установки
42722,Аппаратчик литья и рубки
42723,Аппаратчик матирования смолы
42724,Аппаратчик мерсеризации
42725,Аппаратчик мерсеризации
42726,Аппаратчик мокрой классификации
42727,Аппаратчик мукомольного производства
42728,Аппаратчик мыловарения
42729,Аппаратчик мягчения кожевенных полуфабрикатов и меховых шкурок
42730,Аппаратчик нагрева теплоносителей
42731,Аппаратчик на изготовлении микропроводов в стекольной изоляции
42732,Аппаратчик нанесения полимерных и парафиновых покрытий на сыры
42733,Аппаратчик на плазменных установках
42734,Аппаратчик на приготовлении смесей и растворов
42735,Аппаратчик на пропиточных агрегатах
42736,Аппаратчик напыления металлом
42737,Аппаратчик напыления стекловолокнистых материалов
42738,Аппаратчик насыщения
42739,Аппаратчик на установках деионизации
42740,Аппаратчик-нейтрализаторщик
42741,Аппаратчик нейтрализации
42742,Аппаратчик никелирования стеклоткани
42743,Аппаратчик нитрозного процесса
42744,Аппаратчик обезвоживания
42745,Аппаратчик обезвоживания битума
42746,Аппаратчик обезвоздушивания и фильтрации
42747,Аппаратчик обезжиривания
42748,Аппаратчик обезжиривания сиропов
42749,"Аппаратчик обеззоливания, мягчения"
42750,Аппаратчик обессоливания воды
42751,Аппаратчик обесфеноливания и обеспиридинивания масел
42752,Аппаратчик обжига
42753,Аппаратчик облагораживания гексола
42754,Аппаратчик облучения жира
42755,Аппаратчик обогащения золотосодержаших руд
42756,Аппаратчик обработки
42757,Аппаратчик обработки зерна
42758,Аппаратчик обработки крови
42759,Аппаратчик обработки эфирных масел
42760,Аппаратчик окисления
42761,Аппаратчик окисления битума
42762,Аппаратчик окисления молибденовых отходов
42763,Аппаратчик окраски квасцов
42764,Аппаратчик оксимирования
42765,Аппаратчик оксихлорирования
42766,Аппаратчик-олифовар
42767,Аппаратчик омыления
42768,Аппаратчик осаждения
42769,Аппаратчик осаждения глютена
42770,Аппаратчик осушки газа
42771,Аппаратчик ориентации органического стекла
42772,Аппаратчик отбеливания
42773,Аппаратчик отверждения
42774,Аппаратчик отделки и сушки химической нити
42775,Аппаратчик отжига кристаллов корунда
42776,Аппаратчик отжига хрома
42777,Аппаратчик отжима
42778,Аппаратчик откатки
42779,Аппаратчик-отливщик кинофотоосновы и техпленок
42780,Аппаратчик-отливщик магнитных лент
42781,Аппаратчик-отливщик пленки бутафоль
42782,Аппаратчик отстаивания
42783,Аппаратчик охлаждения
42784,Аппаратчик охлаждения молочных продуктов
42785,Аппаратчик очистки алмазного концентрата
42786,Аппаратчик очистки газа
42787,Аппаратчик очистки жидкости
42788,Аппаратчик очистки сточных вод
42789,Аппаратчик парафинирования ткани
42790,Аппаратчик пароводотермического агрегата
42791,Аппаратчик пастеризации
42792,Аппаратчик перегонки
42793,Аппаратчик перегонки и ректификации спирта
42794,Аппаратчик перегревания
42795,Аппаратчик переработки отходов химического производства
42796,Аппаратчик переэтерификации
42797,Аппаратчик перколяции
42798,Аппаратчик печей восстановления
42799,Аппаратчик пиролиза
42800,Аппаратчик плавления
42801,Аппаратчик плюсования
42802,Аппаратчик по выработке уксуса
42803,Аппаратчик по выращиванию монокристаллов и лент
42804,Аппаратчик по выщелачиванию фибры
42805,Аппаратчик подготовки сырья и отпуска полуфабрикатов и продукции
42806,Аппаратчик-подслойщик фотостекла
42807,Аппаратчик по загрузке пека
42808,Аппаратчик по изготовлению клеевой нити
42809,Аппаратчик по изготовлению шлифовальной шкурки
42810,Аппаратчик-поливщик магнитных лент
42811,Аппаратчик-поливщик фотоэмульсий
42812,Аппаратчик поликонденсации
42813,Аппаратчик полимеризации
42814,Аппаратчик получения высокотемпературного пека
42815,Аппаратчик получения высокочистых соединений щелочных металлов
42816,Аппаратчик получения гексахлорбензола
42817,Аппаратчик получения гидроокисных соединений шелочных металлов
42818,Аппаратчик получения декстрина
42819,Аппаратчик получения закиси азота
42820,Аппаратчик получения зародышей двуокиси титана
42821,Аппаратчик получения комплексных соединений
42822,Аппаратчик получения кукурузного масла
42823,Аппаратчик получения кумароновой смолы
42824,Аппаратчик получения лаков и эмалей на полимеризационных смолах
42825,Аппаратчик получения метатитановой кислоты
42826,Аппаратчик получения микронизированных материалов
42827,Аппаратчик получения нитролигнина
42828,Аппаратчик получения окислов металлов
42829,Аппаратчик получения пата
42830,Аппаратчик получения полых микросфер
42831,Аппаратчик получения сернистой кислоты
42832,Аппаратчик получения сероуглерода-сырца
42833,Аппаратчик получения сильнодействующих алкалоидов и кристаллических гликозидов
42834,Аппаратчик получения синтетических гормонов
42835,Аппаратчик получения сиропов
42836,Аппаратчик получения составов для рентгеновских экранов
42837,Аппаратчик получения сульфата аммония
42838,Аппаратчик получения сухих кормов
42839,Аппаратчик получения сухого крахмала
42840,Аппаратчик получения сырого бензола
42841,Аппаратчик получения сырого крахмала
42842,Аппаратчик получения технического углерода
42843,Аппаратчик получения трихлорпропана и дихлоргидина
42844,Аппаратчик получения углекислоты
42845,Аппаратчик получения фосфатидов
42846,Аппаратчик получения фотогипосульфита
42847,Аппаратчик получения фурановых соединений
42848,Аппаратчик получения хлорного железа
42849,Аппаратчик получения чистого антрацена
42850,Аппаратчик получения экструзионных продуктов
42851,Аппаратчик по насасыванию диафрагм
42852,Аппаратчик по обработке и купажированию уксуса
42853,Аппаратчик по обработке сырого пектина
42854,Аппаратчик по обслуживанию рекуператоров системы и охлаждения
42855,Аппаратчик по окислению кадмия
42856,Аппаратчик по получению высокочистых материалов для полупроводникового производства
42857,Аппаратчик по приготовлению глинозема
42858,Аппаратчик по приготовлению майонеза
42859,Аппаратчик по приготовлению химреагентов
42860,Аппаратчик по производству ванадия
42861,Аппаратчик по производству и химической очистке полупроводниковых материалов
42862,Аппаратчик по производству синтетических клеящих смол
42863,Аппаратчик по производству сухой спичечной соломки
42864,Аппаратчик по разделению редкоземельных элементов
42865,Аппаратчик по регенерации селена
42866,Аппаратчик по регенерации серы
42867,Аппаратчик по сбору и обогащению шлама
42868,Аппаратчик по сушке торфа
42869,Аппаратчик по химической обработке полупроводниковых материалов
42870,Аппаратчик приготовления амальгамы натрия
42871,Аппаратчик приготовления брикетной смеси
42872,Аппаратчик приготовления высокожирных эмульсий
42873,Аппаратчик приготовления дубильных экстрактов
42874,Аппаратчик приготовления замесов
42875,Аппаратчик приготовления зубоврачебных материалов
42876,Аппаратчик приготовления инвертного сиропа
42877,Аппаратчик приготовления каменноугольного лака
42878,Аппаратчик приготовления катализатора
42879,Аппаратчик приготовления компаундов
42880,Аппаратчик приготовления косметических средств
42881,Аппаратчик приготовления кулинарных и кондитерских жиров
42882,Аппаратчик приготовления лака
42883,Аппаратчик приготовления латексной смеси
42884,Аппаратчик приготовления медицинских масс и мазей
42885,Аппаратчик приготовления мездрового клея
42886,Аппаратчик приготовления мыльного клея
42887,Аппаратчик приготовления окисленного крахмала
42888,Аппаратчик приготовления парфюмерных композиций и жидкостей
42889,Аппаратчик приготовления пасты
42890,Аппаратчик приготовления питательных сред
42891,Аппаратчик приготовления полимеризационной смеси
42892,Аппаратчик приготовления препарированной смолы
42893,Аппаратчик приготовления проявляющей пасты
42894,Аппаратчик приготовления прядильных растворов
42895,Аппаратчик приготовления резиновых клеев и покрытий
42896,Аппаратчик приготовления связующих
42897,Аппаратчик приготовления сернокислого глинозема
42898,Аппаратчик приготовления стерильных растворов
42899,Аппаратчик приготовления сырой смеси
42900,Аппаратчик приготовления тресты
42901,Аппаратчик приготовления ферментного препарата
42902,Аппаратчик приготовления химических растворов
42903,Аппаратчик приготовления электролита
42904,Аппаратчик приготовления эмульгатора
42905,Аппаратчик приготовления эмульсий
42906,Аппаратчик производства АГ-соли
42907,Аппаратчик производства адипиновой кислоты
42908,Аппаратчик производства адипонитрила
42909,Аппаратчик производства азокрасителей
42910,Аппаратчик производства альбумина
42911,Аппаратчик производства аммиачной селитры
42912,Аппаратчик производства аэросилы
42913,Аппаратчик производства бакелитовой пленки
42914,Аппаратчик производства бактерийных препаратов
42915,Аппаратчик производства бертолетовой соли
42916,Аппаратчик производства борной кислоты
42917,Аппаратчик производства бульонных кубиков
42918,Аппаратчик производства гематогена и медицинской желчи
42919,Аппаратчик производства гидросульфита натрия
42920,Аппаратчик производства горного воска
42921,Аппаратчик производства двуокиси хлора
42922,Аппаратчик производства диметилтерефталата
42923,Аппаратчик производства дициандиамида
42924,Аппаратчик производства дициклопентадиена
42925,Аппаратчик производства желтого фосфора
42926,Аппаратчик производства жидкого заменителя цельного молока
42927,Аппаратчик производства заквасок
42928,Аппаратчик производства индола
42929,Аппаратчик производства казеинового клея
42930,Аппаратчик производства калиевой селитры
42931,Аппаратчик производства кисломолочных и детских молочных продуктов
42932,Аппаратчик производства контактной массы
42933,Аппаратчик производства контактной серной кислоты
42934,Аппаратчик производства корунда
42935,Аппаратчик производства костного клея
42936,Аппаратчик производства красителей для меха
42937,Аппаратчик производства красного фосфора
42938,Аппаратчик производства кремнийорганических лаков
42939,Аппаратчик производства креолина и лизола
42940,Аппаратчик производства криолита
42941,Аппаратчик производства литопона
42942,Аппаратчик производства малотоннажных продуктов
42943,Аппаратчик производства мездрового клея
42944,Аппаратчик производства металлического натрия
42945,Аппаратчик производства молочного сахара
42946,Аппаратчик производства мочевины
42947,Аппаратчик производства мышьяковистых солей
42948,Аппаратчик производства надперекиси калия
42949,Аппаратчик производства нейтрального кремнегеля
42950,Аппаратчик производства нитрата и нитрита натрия
42951,Аппаратчик производства нитрофоски
42952,Аппаратчик производства озокерита и озокеритовой продукции
42953,Аппаратчик производства пиридиновых оснований
42954,Аппаратчик производства пищевых жиров
42955,Аппаратчик производства плавленого сыра
42956,Аппаратчик производства продукции из кожевенных и коллагенсодержащих отходов
42957,Аппаратчик производства реагентов
42958,Аппаратчик производства регенеративных веществ
42959,Аппаратчик производства светосоставов
42960,Аппаратчик производства силикагелей
42961,Аппаратчик производства силикатного клея
42962,Аппаратчик производства синтетических красителей
42963,Аппаратчик производства смазочного масла
42964,Аппаратчик производства спектрально-чистых газов
42965,Аппаратчик производства сульфата аммония
42966,Аппаратчик производства сульфитных солей
