name,id_okpdtr,okpdtr
Водитель грузового автомобиля,43277,Водитель автомобиля
"Водитель (категории ВСDE, ДОПОГ)",48130,Воспитатель
Водитель категории Е,48130,Воспитатель
Водитель-грузчик с личным автомобилем (Газель),,
Водитель грузового автомобиля Howo,43277,Водитель автомобиля
Водитель (категории СЕ),48130,Воспитатель
Водитель контейнеровоза,,
Водитель-экспедитор (доставка товаров до торговых объектов),,
Водитель-экспедитор категория Е,,
"Водитель-экспедитор (категории В,С)",,
Водитель с личным грузовым автомобилем,,
Водитель на КАМАЗ (ломовоз),,
Водитель Яндекс такси с личным автомобилем,,
Водитель категории В,48130,Воспитатель
Водитель с личным грузовым автомобилем от 5тонн,,
Водитель-экспедитор категории Е,,
Водитель с категорией С,,
"Водитель самосвала, бензовоза",,
Водитель в такси на личном автомобиле,48130,Воспитатель
Водитель,48130,Воспитатель
"Водитель категории С, Е(MAN, HINO)",48130,Воспитатель
Водитель,48130,Воспитатель
Водитель категории Е,48130,Воспитатель
Водитель-экспедитор СЕ,,
Водитель Бензовоза (категории Е),43279,Водитель вездехода
"Водитель категории С, Е",48130,Воспитатель
Водитель категории Д,48130,Воспитатель
"Водитель ВС, ВСДЕ, Допог",,
Водитель категории С,48130,Воспитатель
Водитель на личном автомобиле,43277,Водитель автомобиля
"Водитель (категории В, С)",48130,Воспитатель
"Водитель категории С, Е",48130,Воспитатель
Водитель категории Е (контейнеровоз),48130,Воспитатель
Водитель самосвала,43284,Водитель трамвая
Водитель категории Е,48130,Воспитатель
Водитель такси на автомобиль Яндекс Такси,,
Водитель такси на автомобиль компании (Яндекс.Такси),,
"Водитель категории С,Е",48130,Воспитатель
Водитель Яндекс Такси,,
Водитель-экспедитор на выходные дни,,
Водитель-курьер Интернет-магазина на автомобиле (г. Новосибирск),,
Водитель-экспедитор (с функциями грузчика),,
Водитель-курьер на личном автомобиле,,
Водитель (ВС+СКЗИ),43280,Водитель дрезины
Водитель ВСДЕ,43280,Водитель дрезины
Водитель-курьер,43280,Водитель дрезины
"Водитель (категории ВСДЕ, СКЗИ, Допог)",48130,Воспитатель
"Водитель (Категории В,С, карта СКЗИ)",48130,Воспитатель
Менеджер по закупу зерна (конкурентный закуп),,
Водитель (подменный),43280,Водитель дрезины
Механик по ремонту и выпуску ТС,49347,Механик по ремонту транспорта
Водитель на личном легковом автомобиле,,
"Водитель - механик ""В, С""",,
Оператор службы поддержки пользователей в Драйв,,
Водитель-экспедитор,,
"Водитель с личным грузовыми автомобилем (типа «Газель», Ford Transit, Peugeot Boxer от 1 тонны)",,
Главный энергетик (Муравленко),48365,Главный энергетик (в промышленности)
Водитель автомобиля с краноманипуляторной установкой,,
Водитель категории Е,48130,Воспитатель
Водитель-экспедитор,,
"Стажер в отдел продаж недвижимости, Сочи",45806,Пастижер
Водитель такси,43284,Водитель трамвая
Водитель такси,43284,Водитель трамвая
Водитель на автомобиль компании/личном автомобиле (сервис Яндекс такси),,
Водитель такси,43284,Водитель трамвая
Водитель вездехода 5-6 разряда,43279,Водитель вездехода
Водитель на автомобиле компании,43277,Водитель автомобиля
Водитель такси (яндекс/gett),,
Водитель на личном автомобиле,43277,Водитель автомобиля
Водитель ИСУЗУ,43283,Водитель погрузчика
Водитель КМУ,43284,Водитель трамвая
Водитель с личным грузовым автомобилем до 2 тонн,,
Водитель-экспедитор,,
Машинист фронтального погрузчика,44568,Машинист отвального плуга
Бухгалтер по расчету заработной платы,,
Водитель с личным легковым автомобилем,,
Моторист цементировочного агрегата 6 разряда,44977,Моторист цементировочного агрегата
"Водитель с личным грузовым автомобилем (типа «Газель», Ford Transit, Peugeot Boxer от 1 тонны)",,
Водитель погрузчика,43283,Водитель погрузчика
Водитель такси на авто компании\ на личном авто,,
Водитель,48130,Воспитатель
Водитель такси,43284,Водитель трамвая
Водитель,48130,Воспитатель
Водитель-экспедитор,,
Водитель такси в Ситимобил Федеральный парк,43284,Водитель трамвая
"Водитель категории ""D""",48130,Воспитатель
"Водитель карьерного самосвала (г. Магадан, Магаданская область)",,
"Водитель категории ""D""",48130,Воспитатель
Водитель с личным автомобилем,,
Водитель яндекс такси,,
Водитель такси,43284,Водитель трамвая
Водитель-охранник ГБР,43283,Водитель погрузчика
Водитель на личном автомобиле,43277,Водитель автомобиля
Начальник автоколонны,49405,Начальник автоколонны
Водитель с личным грузовыми автомобилем,,
Менеджер отдела логистики,,
Водитель,48130,Воспитатель
Водитель такси,43284,Водитель трамвая
Водитель таксопарка,43278,Водитель аэросаней
Водитель на личном легковом автомобиле (Яндекс.Такси),,
Водитель в таксопарк на автомобиле компании,48130,Воспитатель
Водитель категории В,48130,Воспитатель
Водитель (Яндекс.Такси),,
Водитель,48130,Воспитатель
"React Native Developer (Германия, Мюнхен)",,
Водитель,48130,Воспитатель
Водитель вездехода (снегоболотохода),43279,Водитель вездехода
"Водитель С,Е",43278,Водитель аэросаней
Водитель на своем автомобиле,43277,Водитель автомобиля
Водитель на автомобиль компании,43277,Водитель автомобиля
Водитель такси,43284,Водитель трамвая
Водитель такси,43284,Водитель трамвая
Водитель с личным автомобилем / на автомобиль компании,,
Водитель на автомобиль компании/личном автомобиле (Яндекс. такси),,
Водитель,48130,Воспитатель
Водитель такси (личный автомобиль / автомобиль компании),,
Начальник административно-хозяйственного отдела,50533,Начальник технического отдела автохозяйства
Водитель,48130,Воспитатель
Водитель топливозаправщика,,
Водитель такси в Москве (с предоставлением Проживания и Питания на системе 50/50),43284,Водитель трамвая
Водитель седельного тягача,,
Водитель легкового автомобиля,43277,Водитель автомобиля
Водитель категории В,48130,Воспитатель
Водитель,48130,Воспитатель
Водитель такси (Яндекс. такси),,
Водитель такси,43284,Водитель трамвая
Водитель таксопарка (Яндекс. такси),,
Водитель на личном автомобиле,43277,Водитель автомобиля
Водитель-экспедитор с категорией Е,,
Водитель-экспедитор с категорией Е,,
Водитель,48130,Воспитатель
Водитель с личным легковым автомобилем,,
"Водитель легкового автомобиля, такси",,
Водитель такси,43284,Водитель трамвая
"Водитель с личным автомобилем (типа «Газель Next», Ford Transit, Peugeot Boxer от 1 тонны)",,
Агент по продажам недвижимости в г. Сочи,47991,Агент по продаже недвижимости
Водитель-курьер,43280,Водитель дрезины
Водитель-курьер,43280,Водитель дрезины
Водитель такси,43284,Водитель трамвая
Водитель на автомобиль компании/личном автомобиле (сервис Яндекс такси),,
Водитель (на автомобиль компании\на личный автомобиль),,
Водитель Такси на автомобиль компании или личный автомобиль,,
Водитель такси,43284,Водитель трамвая
Водитель (Сервис Яндекс.Такси),,
Водитель такси,43284,Водитель трамвая
Водитель такси,43284,Водитель трамвая
Водитель таксопарка на автомобиль компании/личном автомобиле,,
Водитель СЕ,43278,Водитель аэросаней
Водитель,48130,Воспитатель
Водитель импортного самосвала/тонара,,
Маркетолог-аналитик,,
Менеджер по приему и размещению,,
Старший / Ведущий дизайнер,,
Руководитель регионального подразделения по продаже электронной сантехники производства Ю.Корея,,
Специалист по продвижению сервисных услуг,,
Менеджер по работе с зарубежными проектами,,
Менеджер по продажам/руководитель проектов,,
Менеджер по продажам транспортных услуг (Международная логистика и ВЭД),,
Директор по развитию бизнеса,,
Мерчендайзер (правый берег),,
Технический специалист (вентиляционные системы),,
Региональный представитель по продажам электротехнического оборудования,,
Риелтор/ Специалист по недвижимости,,
Маркетолог/заместитель директора по маркетингу,,
Территориальный менеджер (г. Новосибирск),,
Аналитик отдела маркетинга,,
Менеджер по продажам,49302,Менеджер по персоналу
Менеджер по продажам b2b,49302,Менеджер по персоналу
Менеджер по продажам на производственное предприятие (металлоконструкции),,
Региональный менеджер по продажам электротехнического оборудования,,
Медицинский представитель,49287,Медицинский регистратор
Ведущий специалист отдела маркетинга/Начальник отдела маркетинга,,
Менеджер по продажам медицинского оборудования,,
Специалист по продукции (общегоспитальные расходные материалы),,
Менеджер по продажам (медицинский представитель),,
Инженер по работе с проектными институтами,,
Менеджер по продажам,49302,Менеджер по персоналу
Региональный менеджер по продажам,,
Специалист по продвижению продукта (лучевая диагностика),,
Руководитель Отдела Продаж/РОП,49945,Руководитель полетов
Менеджер по продажам кормовых добавок,,
Инженер-электроник (Отдел Технического сопровождения),,
Ассистент менеджера по закупкам,,
"Ведущий менеджер по продажам (косметология, медицинские препараты)",,
Менеджер по работе с клиентами,49304,Менеджер по рекламе
Менеджер по продажам (полуфабрикаты),,
Инженер по предпродажной подготовке оборудования ВКС и мультимедиа,,
Менеджер по продажам,49302,Менеджер по персоналу
Менеджер по рекламе с функциями дизайнера,49304,Менеджер по рекламе
Менеджер по маркетингу и рекламе,49304,Менеджер по рекламе
Агроном-консультант,,
Менеджер по образованию за рубежом,,
Менеджер по продажам оборудования связи,,
Ветеринарный представитель по мдж в г.Новосибирск и Новосибирской области,48125,Ветеринарный врач
Менеджер по анализу и планированию (Аналитик продаж),,
Менеджер по транспортной логистике,,
PR-менеджер,49291,Менеджер
Менеджер со знанием английского языка,,
Менеджер по продажам (вентиляционные системы),,
Коммерческий директор со знанием английского языка (производство),,
Менеджер по продажам,49302,Менеджер по персоналу
Менеджер по развитию,49304,Менеджер по рекламе
Менеджер по развитию бизнеса (системная интеграция),,
Менеджер по персоналу,49291,Менеджер
Медицинский представитель (женское здоровье),,
Менеджер по продажам стоматологической продукции,,
Кладовщик,43976,Кладовщик
Руководитель отдела продаж,49945,Руководитель полетов
Ассистент менеджера со знанием китайского и английского языков,,
Специалист по работе с ключевыми партнёрами,,
Специалист по продвижению сервисных услуг,,
Региональный представитель по СФО,,
Региональный менеджер по продажам,,
Менеджер активных продаж,,
Менеджер по продажам оборудования для водоподготовки,,
Дизайнер женской одежды,,
Event-директор / Менеджер по участию в мероприятиях в Новосибирске,,
Маркетолог,48091,Бактериолог
Заместитель управляющего по крупному и инвестиционному бизнесу,,
Менеджер по работе с частными и корпоративными клиентами,,
Менеджер по продаже семян и средств защиты растений,,
Интернет-маркетолог,,
Менеджер по продажам,49302,Менеджер по персоналу
Контент-менеджер / Выпускающий редактор в Новосибирске,,
Инженер по продажам,48890,Инженер по профадаптации
Медицинский представитель (Кардиология),49286,Медицинский психолог
Менеджер по развитию торговой марки Beluga,,
Маркетолог,48091,Бактериолог
Менеджер по продажам (международные продажи),,
Менеджер по развитию международных продаж,,
Таргетолог/SMM-менеджер (Facebook и Instagram),,
Коммерческий директор,,
Менеджер по региональным продажам (распределение электроэнергии),,
Менеджер по маркетингу и рекламе,49304,Менеджер по рекламе
Старший медицинский представитель,,
Бренд-менеджер,,
Менеджер по оптовым продажам ювелирных изделий,,
Врач-консультант в отдел маркетинга,49867,Профконсультант
Сервисный инженер (станки по металлу/по дереву),,
Начальник отдела продаж (Застройщик),50501,Начальник отдела подготовки производства
Менеджер по продажам транспортно-экспедиционных услуг,,
Руководитель отдела продаж,49945,Руководитель полетов
Менеджер отдела продаж,,
Продавец-консультант (Колорлон ул. Б.Хмельницкого),,
Менеджер по продажам транспортных услуг,,
Руководитель отдела PR и продвижения,49945,Руководитель полетов
Медицинский представитель,49287,Медицинский регистратор
Менеджер по развитию оптовых продаж,,
Контент-менеджер в Tagline Awards в Новосибирске,,
Менеджер по продажам,49302,Менеджер по персоналу
Контент-менеджер для программы мероприятий в Новосибирске,,
Руководитель отдела маркетинга,,
Ведущий системный аналитик,,
Backend Developer (Java),,
Java Developer,,
Менеджер отдела продаж,,
Менеджер по тендерам,49304,Менеджер по рекламе
Программист 1С,49855,Программист
Специалист по поддержке систем управления производством,,
Upsale manager (middle),,
Менеджер по работе с клиентами (сфера B2B),49304,Менеджер по рекламе
Офис-менеджер/ менеджер по работе с клиентами,,
Инженер-сметчик,48820,Инженер-механик
Менеджер по персоналу/ HR-менеджер,49291,Менеджер
Менеджер по продажам,49302,Менеджер по персоналу
Менеджер по транспортной логистике,,
Младший разработчик полного цикла (Full Stack — PHP + TypeScript),,
"Региональный менеджер по продажам (промышленная безопасность GWS, SPC/промышленная химия WEICON)",,
Инженер-сметчик,48820,Инженер-механик
Разработчик полного цикла (Full Stack — PHP + TypeScript),,
Специалист тендерного отдела,50045,Специалист военного представительства
"Менеджер по продажам, по работе с клиентами",,
Инженер по подбору насосного оборудования для водоотведения и водоснабжения,,
Ведущий инженер технического отдела службы заказчика,,
Менеджер продаж по логистике,,
Инженер-проектировщик,48935,Инженер-проектировщик
Специалист по исполнительной документации (Иркутская область),,
Инженер (электроника),48948,Инженер-электроник
Специалист отдела аналитики,,
Сервисный инженер/руководитель сервисной службы (с опытом в насосном оборудовании),,
Менеджер продаж по входящим заявкам,,
Менеджер по продажам,49302,Менеджер по персоналу
Графический дизайнер (Советский район),,
Специалист по тендерам/тендер-менеджер,,
Менеджер по продажам,49302,Менеджер по персоналу
Бухгалтер материальной группы,,
Главный бухгалтер с функциями финансового менеджера,,
Algorithm Engineer DSP ML,,
Региональный менеджер/Менеджер проектных продаж,,
"Помощник руководителя с юридическим образованием, Юрисконсульт",,
Специалист по обслуживанию корпоративных клиентов,,
Менеджер по работе с клиентами,49304,Менеджер по рекламе
"Java-разработчик (стажер, Java Junior)",,
Менеджер по продажам строительных материалов,,
Технический писатель,,
Менеджер по работе с заказчиками,,
Эксперт промышленной безопасности (химической промышленности),,
Менеджер региональных продаж,,
Инженер по обследованию зданий / инженер-конструктор,,
Сметчик,47085,Счетчик
Junior Software Engineer,,
Менеджер объекта (клининг),,
Менеджер по продажам (оборудование),,
Инженер-программист АСУ ТП,48934,Инженер-программист
Заместитель руководителя по налоговому учету,,
SMM-менеджер / Контент-мейкер,,
Менеджер объектовых продаж,,
Ведущий инженер,,
Менеджер по продажам,49302,Менеджер по персоналу
C/C++ developer (PON),,
"Руководитель проекта/Менеджер проекта (сфера мультимедиа, звук, свет)",,
Главный инженер проекта,48269,Главный инженер проекта
Специалист по закупкам,50049,Специалист по кадрам
Android разработчик,46404,Размотчик
"Frontend-разработчик (React, React-Native)",46404,Размотчик
